"model","rep","node","identity","blens","system"
"poisson","55","5","91.2727272727273",0.2,"HA"
"poisson","55","6","92.5454545454545",0.2,"HA"
"H1","55","5","92.1818181818182",0.2,"HA"
"H1","55","6","93.8181818181818",0.2,"HA"
"H3","55","5","92.3636363636364",0.2,"HA"
"H3","55","6","94.5454545454545",0.2,"HA"
"best","56","5","92.3636363636364",0.2,"HA"
"best","56","6","92.5454545454545",0.2,"HA"
"poisson","56","5","90.7272727272727",0.2,"HA"
"poisson","56","6","90.5454545454545",0.2,"HA"
"H1","56","5","92.5454545454545",0.2,"HA"
"H1","56","6","92.7272727272727",0.2,"HA"
"H3","56","5","92.7272727272727",0.2,"HA"
"H3","56","6","93.0909090909091",0.2,"HA"
"best","57","5","91.8181818181818",0.2,"HA"
"best","57","6","92.9090909090909",0.2,"HA"
"poisson","57","5","90.1818181818182",0.2,"HA"
"poisson","57","6","91.2727272727273",0.2,"HA"
"H1","57","5","92.1818181818182",0.2,"HA"
"H1","57","6","93.0909090909091",0.2,"HA"
"H3","57","5","92.5454545454545",0.2,"HA"
"H3","57","6","93.2727272727273",0.2,"HA"
"best","58","5","90.5454545454545",0.2,"HA"
"best","58","6","90.1818181818182",0.2,"HA"
"poisson","58","5","88.7272727272727",0.2,"HA"
"poisson","58","6","89.0909090909091",0.2,"HA"
"H1","58","5","90.5454545454545",0.2,"HA"
"H1","58","6","89.8181818181818",0.2,"HA"
"H3","58","5","90.1818181818182",0.2,"HA"
"H3","58","6","89.0909090909091",0.2,"HA"
"best","59","5","92.7272727272727",0.2,"HA"
"best","59","6","91.6363636363636",0.2,"HA"
"poisson","59","5","91.0909090909091",0.2,"HA"
"poisson","59","6","89.8181818181818",0.2,"HA"
"H1","59","5","92.9090909090909",0.2,"HA"
"H1","59","6","92.3636363636364",0.2,"HA"
"H3","59","5","92.7272727272727",0.2,"HA"
"H3","59","6","92.1818181818182",0.2,"HA"
"best","60","5","91.8181818181818",0.2,"HA"
"best","60","6","91.2727272727273",0.2,"HA"
"poisson","60","5","90.3636363636364",0.2,"HA"
"poisson","60","6","89.4545454545455",0.2,"HA"
"H1","60","5","93.2727272727273",0.2,"HA"
"H1","60","6","92.5454545454545",0.2,"HA"
"H3","60","5","92.9090909090909",0.2,"HA"
"H3","60","6","92.1818181818182",0.2,"HA"
"best","61","5","91.6363636363636",0.2,"HA"
"best","61","6","92.1818181818182",0.2,"HA"
"poisson","61","5","88.7272727272727",0.2,"HA"
"poisson","61","6","90.7272727272727",0.2,"HA"
"H1","61","5","92.3636363636364",0.2,"HA"
"H1","61","6","92.5454545454545",0.2,"HA"
"H3","61","5","91.4545454545455",0.2,"HA"
"H3","61","6","91.8181818181818",0.2,"HA"
"best","62","5","90.9090909090909",0.2,"HA"
"best","62","6","90",0.2,"HA"
"poisson","62","5","88.9090909090909",0.2,"HA"
"poisson","62","6","89.2727272727273",0.2,"HA"
"H1","62","5","91.8181818181818",0.2,"HA"
"H1","62","6","90.3636363636364",0.2,"HA"
"H3","62","5","91.2727272727273",0.2,"HA"
"H3","62","6","90.1818181818182",0.2,"HA"
"best","63","5","93.4545454545455",0.2,"HA"
"best","63","6","94.1818181818182",0.2,"HA"
"poisson","63","5","90.9090909090909",0.2,"HA"
"poisson","63","6","92.1818181818182",0.2,"HA"
"H1","63","5","93.4545454545455",0.2,"HA"
"H1","63","6","93.8181818181818",0.2,"HA"
"H3","63","5","93.4545454545455",0.2,"HA"
"H3","63","6","94.1818181818182",0.2,"HA"
"best","64","5","92.7272727272727",0.2,"HA"
"best","64","6","94.3636363636364",0.2,"HA"
"poisson","64","5","89.8181818181818",0.2,"HA"
"poisson","64","6","93.0909090909091",0.2,"HA"
"H1","64","5","93.2727272727273",0.2,"HA"
"H1","64","6","94.5454545454545",0.2,"HA"
"H3","64","5","93.4545454545455",0.2,"HA"
"H3","64","6","94.3636363636364",0.2,"HA"
"best","65","5","91.8181818181818",0.2,"HA"
"best","65","6","91.6363636363636",0.2,"HA"
"poisson","65","5","90",0.2,"HA"
"poisson","65","6","89.0909090909091",0.2,"HA"
"H1","65","5","92",0.2,"HA"
"H1","65","6","92",0.2,"HA"
"H3","65","5","91.8181818181818",0.2,"HA"
"H3","65","6","91.6363636363636",0.2,"HA"
"best","66","5","93.8181818181818",0.2,"HA"
"best","66","6","91.0909090909091",0.2,"HA"
"poisson","66","5","91.6363636363636",0.2,"HA"
"poisson","66","6","89.8181818181818",0.2,"HA"
"H1","66","5","94",0.2,"HA"
"H1","66","6","90.9090909090909",0.2,"HA"
"H3","66","5","93.8181818181818",0.2,"HA"
"H3","66","6","90.9090909090909",0.2,"HA"
"best","67","5","91.4545454545455",0.2,"HA"
"best","67","6","92.1818181818182",0.2,"HA"
"poisson","67","5","88.3636363636364",0.2,"HA"
"poisson","67","6","90.3636363636364",0.2,"HA"
"H1","67","5","92",0.2,"HA"
"H1","67","6","92.1818181818182",0.2,"HA"
"H3","67","5","92.3636363636364",0.2,"HA"
"H3","67","6","91.4545454545455",0.2,"HA"
"best","68","5","92.7272727272727",0.2,"HA"
"best","68","6","93.6363636363636",0.2,"HA"
"poisson","68","5","90.9090909090909",0.2,"HA"
"poisson","68","6","92.1818181818182",0.2,"HA"
"H1","68","5","93.8181818181818",0.2,"HA"
"H1","68","6","93.6363636363636",0.2,"HA"
"H3","68","5","93.4545454545455",0.2,"HA"
"H3","68","6","93.8181818181818",0.2,"HA"
"best","69","5","92.9090909090909",0.2,"HA"
"best","69","6","94",0.2,"HA"
"poisson","69","5","91.0909090909091",0.2,"HA"
"poisson","69","6","91.8181818181818",0.2,"HA"
"H1","69","5","93.6363636363636",0.2,"HA"
"H1","69","6","94",0.2,"HA"
"H3","69","5","93.2727272727273",0.2,"HA"
"H3","69","6","93.8181818181818",0.2,"HA"
"best","70","5","93.0909090909091",0.2,"HA"
"best","70","6","92.9090909090909",0.2,"HA"
"poisson","70","5","91.2727272727273",0.2,"HA"
"poisson","70","6","90.7272727272727",0.2,"HA"
"H1","70","5","93.4545454545455",0.2,"HA"
"H1","70","6","93.0909090909091",0.2,"HA"
"H3","70","5","93.4545454545455",0.2,"HA"
"H3","70","6","93.0909090909091",0.2,"HA"
"best","71","5","92.1818181818182",0.2,"HA"
