"model","rep","node","identity","blens","system"
"best","83","6","64.2857142857143",1.6,"RBD"
"poisson","83","5","65.9340659340659",1.6,"RBD"
"poisson","83","6","64.2857142857143",1.6,"RBD"
"RBD","83","5","67.032967032967",1.6,"RBD"
"RBD","83","6","69.7802197802198",1.6,"RBD"
"best","84","5","67.5824175824176",1.6,"RBD"
"best","84","6","67.032967032967",1.6,"RBD"
"poisson","84","5","67.032967032967",1.6,"RBD"
"poisson","84","6","67.032967032967",1.6,"RBD"
"RBD","84","5","67.5824175824176",1.6,"RBD"
"RBD","84","6","69.2307692307692",1.6,"RBD"
"best","85","5","67.032967032967",1.6,"RBD"
"best","85","6","64.8351648351648",1.6,"RBD"
"poisson","85","5","67.5824175824176",1.6,"RBD"
"poisson","85","6","64.8351648351648",1.6,"RBD"
"RBD","85","5","59.3406593406593",1.6,"RBD"
"RBD","85","6","67.032967032967",1.6,"RBD"
"best","86","5","65.3846153846154",1.6,"RBD"
"best","86","6","71.978021978022",1.6,"RBD"
"poisson","86","5","67.032967032967",1.6,"RBD"
"poisson","86","6","69.7802197802198",1.6,"RBD"
"RBD","86","5","68.1318681318681",1.6,"RBD"
"RBD","86","6","71.4285714285714",1.6,"RBD"
"best","87","5","64.2857142857143",1.6,"RBD"
"best","87","6","64.8351648351648",1.6,"RBD"
"poisson","87","5","61.5384615384615",1.6,"RBD"
"poisson","87","6","64.8351648351648",1.6,"RBD"
"RBD","87","5","64.2857142857143",1.6,"RBD"
"RBD","87","6","67.032967032967",1.6,"RBD"
"best","88","5","65.9340659340659",1.6,"RBD"
"best","88","6","65.9340659340659",1.6,"RBD"
"poisson","88","5","65.9340659340659",1.6,"RBD"
"poisson","88","6","63.1868131868132",1.6,"RBD"
"RBD","88","5","67.032967032967",1.6,"RBD"
"RBD","88","6","67.032967032967",1.6,"RBD"
"best","89","5","69.2307692307692",1.6,"RBD"
"best","89","6","65.9340659340659",1.6,"RBD"
