"model","rep","node","identity","blens","system"
"poisson","60","6","100",0.05,"SR"
"ER","60","5","100",0.05,"SR"
"ER","60","6","100",0.05,"SR"
"kSR","60","5","100",0.05,"SR"
"kSR","60","6","100",0.05,"SR"
"best","61","5","97.3684210526316",0.05,"SR"
"best","61","6","98.6842105263158",0.05,"SR"
"poisson","61","5","93.4210526315789",0.05,"SR"
"poisson","61","6","96.0526315789474",0.05,"SR"
"ER","61","5","96.0526315789474",0.05,"SR"
"ER","61","6","98.6842105263158",0.05,"SR"
"kSR","61","5","96.0526315789474",0.05,"SR"
"kSR","61","6","97.3684210526316",0.05,"SR"
"best","62","5","98.6842105263158",0.05,"SR"
"best","62","6","100",0.05,"SR"
"poisson","62","5","98.6842105263158",0.05,"SR"
"poisson","62","6","100",0.05,"SR"
"ER","62","5","100",0.05,"SR"
"ER","62","6","100",0.05,"SR"
"kSR","62","5","98.6842105263158",0.05,"SR"
"kSR","62","6","100",0.05,"SR"
"best","63","5","100",0.05,"SR"
"best","63","6","98.6842105263158",0.05,"SR"
"poisson","63","5","100",0.05,"SR"
"poisson","63","6","98.6842105263158",0.05,"SR"
"ER","63","5","100",0.05,"SR"
"ER","63","6","98.6842105263158",0.05,"SR"
"kSR","63","5","100",0.05,"SR"
"kSR","63","6","98.6842105263158",0.05,"SR"
"best","64","5","98.6842105263158",0.05,"SR"
"best","64","6","100",0.05,"SR"
"poisson","64","5","98.6842105263158",0.05,"SR"
"poisson","64","6","100",0.05,"SR"
"ER","64","5","98.6842105263158",0.05,"SR"
"ER","64","6","100",0.05,"SR"
"kSR","64","5","98.6842105263158",0.05,"SR"
"kSR","64","6","100",0.05,"SR"
"best","65","5","98.6842105263158",0.05,"SR"
"best","65","6","98.6842105263158",0.05,"SR"
"poisson","65","5","98.6842105263158",0.05,"SR"
"poisson","65","6","98.6842105263158",0.05,"SR"
"ER","65","5","97.3684210526316",0.05,"SR"
"ER","65","6","100",0.05,"SR"
"kSR","65","5","98.6842105263158",0.05,"SR"
"kSR","65","6","100",0.05,"SR"
"best","66","5","96.0526315789474",0.05,"SR"
"best","66","6","96.0526315789474",0.05,"SR"
"poisson","66","5","94.7368421052632",0.05,"SR"
"poisson","66","6","96.0526315789474",0.05,"SR"
"ER","66","5","96.0526315789474",0.05,"SR"
"ER","66","6","96.0526315789474",0.05,"SR"
"kSR","66","5","97.3684210526316",0.05,"SR"
"kSR","66","6","96.0526315789474",0.05,"SR"
"best","67","5","97.3684210526316",0.05,"SR"
"best","67","6","98.6842105263158",0.05,"SR"
"poisson","67","5","98.6842105263158",0.05,"SR"
"poisson","67","6","98.6842105263158",0.05,"SR"
"ER","67","5","98.6842105263158",0.05,"SR"
"ER","67","6","98.6842105263158",0.05,"SR"
"kSR","67","5","96.0526315789474",0.05,"SR"
"kSR","67","6","98.6842105263158",0.05,"SR"
"best","68","5","96.0526315789474",0.05,"SR"
"best","68","6","97.3684210526316",0.05,"SR"
"poisson","68","5","97.3684210526316",0.05,"SR"
"poisson","68","6","98.6842105263158",0.05,"SR"
"ER","68","5","97.3684210526316",0.05,"SR"
"ER","68","6","98.6842105263158",0.05,"SR"
"kSR","68","5","97.3684210526316",0.05,"SR"
"kSR","68","6","98.6842105263158",0.05,"SR"
"best","69","5","100",0.05,"SR"
"best","69","6","100",0.05,"SR"
"poisson","69","5","98.6842105263158",0.05,"SR"
"poisson","69","6","100",0.05,"SR"
"ER","69","5","100",0.05,"SR"
"ER","69","6","100",0.05,"SR"
"kSR","69","5","100",0.05,"SR"
"kSR","69","6","100",0.05,"SR"
"best","70","5","98.6842105263158",0.05,"SR"
"best","70","6","100",0.05,"SR"
"poisson","70","5","98.6842105263158",0.05,"SR"
"poisson","70","6","100",0.05,"SR"
"ER","70","5","100",0.05,"SR"
"ER","70","6","100",0.05,"SR"
"kSR","70","5","100",0.05,"SR"
"kSR","70","6","100",0.05,"SR"
"best","71","5","100",0.05,"SR"
"best","71","6","100",0.05,"SR"
"poisson","71","5","98.6842105263158",0.05,"SR"
"poisson","71","6","98.6842105263158",0.05,"SR"
"ER","71","5","100",0.05,"SR"
"ER","71","6","100",0.05,"SR"
"kSR","71","5","100",0.05,"SR"
"kSR","71","6","100",0.05,"SR"
"best","72","5","100",0.05,"SR"
"best","72","6","100",0.05,"SR"
"poisson","72","5","100",0.05,"SR"
"poisson","72","6","100",0.05,"SR"
"ER","72","5","100",0.05,"SR"
"ER","72","6","100",0.05,"SR"
"kSR","72","5","100",0.05,"SR"
"kSR","72","6","100",0.05,"SR"
"best","73","5","97.3684210526316",0.05,"SR"
"best","73","6","100",0.05,"SR"
"poisson","73","5","97.3684210526316",0.05,"SR"
"poisson","73","6","98.6842105263158",0.05,"SR"
"ER","73","5","100",0.05,"SR"
"ER","73","6","98.6842105263158",0.05,"SR"
"kSR","73","5","100",0.05,"SR"
"kSR","73","6","98.6842105263158",0.05,"SR"
"best","74","5","98.6842105263158",0.05,"SR"
"best","74","6","98.6842105263158",0.05,"SR"
"poisson","74","5","98.6842105263158",0.05,"SR"
"poisson","74","6","98.6842105263158",0.05,"SR"
"ER","74","5","98.6842105263158",0.05,"SR"
"ER","74","6","98.6842105263158",0.05,"SR"
"kSR","74","5","98.6842105263158",0.05,"SR"
"kSR","74","6","98.6842105263158",0.05,"SR"
"best","75","5","97.3684210526316",0.05,"SR"
"best","75","6","100",0.05,"SR"
"poisson","75","5","97.3684210526316",0.05,"SR"
"poisson","75","6","100",0.05,"SR"
"ER","75","5","97.3684210526316",0.05,"SR"
"ER","75","6","100",0.05,"SR"
"kSR","75","5","97.3684210526316",0.05,"SR"
"kSR","75","6","100",0.05,"SR"
"best","76","5","98.6842105263158",0.05,"SR"
"best","76","6","100",0.05,"SR"
"poisson","76","5","97.3684210526316",0.05,"SR"
"poisson","76","6","100",0.05,"SR"
"ER","76","5","98.6842105263158",0.05,"SR"
"ER","76","6","100",0.05,"SR"
"kSR","76","5","98.6842105263158",0.05,"SR"
"kSR","76","6","100",0.05,"SR"
"best","77","5","98.6842105263158",0.05,"SR"
"best","77","6","98.6842105263158",0.05,"SR"
"poisson","77","5","98.6842105263158",0.05,"SR"
"poisson","77","6","96.0526315789474",0.05,"SR"
"ER","77","5","98.6842105263158",0.05,"SR"
"ER","77","6","98.6842105263158",0.05,"SR"
"kSR","77","5","98.6842105263158",0.05,"SR"
"kSR","77","6","98.6842105263158",0.05,"SR"
"best","78","5","100",0.05,"SR"
"best","78","6","98.6842105263158",0.05,"SR"
