"model","rep","total_blens","mean_blens","blens","system"
"H3","59","3.173724","0.6347448",0.8,"HA"
"H3","60","2.734174","0.5468348",0.8,"HA"
"H3","61","3.4329","0.68658",0.8,"HA"
"H3","62","3.425146","0.6850292",0.8,"HA"
"H3","63","2.977422","0.5954844",0.8,"HA"
"H3","64","2.811911","0.5623822",0.8,"HA"
"H3","65","2.882135","0.576427",0.8,"HA"
"H3","66","3.274684","0.6549368",0.8,"HA"
"H3","67","3.142766","0.6285532",0.8,"HA"
"H3","68","3.09241","0.618482",0.8,"HA"
"H3","69","2.957523","0.5915046",0.8,"HA"
"H3","70","3.348639","0.6697278",0.8,"HA"
"H3","71","3.037551","0.6075102",0.8,"HA"
"H3","72","3.024384","0.6048768",0.8,"HA"
"H3","73","3.027239","0.6054478",0.8,"HA"
"H3","74","3.490738","0.6981476",0.8,"HA"
"H3","75","2.900434","0.5800868",0.8,"HA"
"H3","76","3.050558","0.6101116",0.8,"HA"
"H3","77","3.177102","0.6354204",0.8,"HA"
"H3","78","2.889066","0.5778132",0.8,"HA"
"H3","79","3.122831","0.6245662",0.8,"HA"
"H3","80","3.746373","0.7492746",0.8,"HA"
"H3","81","3.021792","0.6043584",0.8,"HA"
"H3","82","3.344187","0.6688374",0.8,"HA"
"H3","83","2.949557","0.5899114",0.8,"HA"
"H3","84","3.050262","0.6100524",0.8,"HA"
"H3","85","3.006686","0.6013372",0.8,"HA"
"H3","86","2.914499","0.5828998",0.8,"HA"
"H3","87","2.618677","0.5237354",0.8,"HA"
"H3","88","2.993706","0.5987412",0.8,"HA"
"H3","89","2.907908","0.5815816",0.8,"HA"
"H3","90","2.881871","0.5763742",0.8,"HA"
"H3","91","3.144582","0.6289164",0.8,"HA"
"H3","92","3.230901","0.6461802",0.8,"HA"
"H3","93","2.909823","0.5819646",0.8,"HA"
"H3","94","3.436529","0.6873058",0.8,"HA"
"H3","95","3.286679","0.6573358",0.8,"HA"
"H3","96","3.174467","0.6348934",0.8,"HA"
"H3","97","2.809854","0.5619708",0.8,"HA"
"H3","98","2.839107","0.5678214",0.8,"HA"
"H3","99","2.99773","0.599546",0.8,"HA"
"H3","100","3.382247","0.6764494",0.8,"HA"
